doi,pubmed_id,title,abstract,authors,journal,year,comments
10.1007_s00122-002-1102-2,310,Mapping of qualitative and quantitative phenotypic traits in Rosa using AFLP markers,"A segregating population of 91 hybrids issued from a cross between a dihaploid rose, derived from the haploidisation of a modern cultivar, and a diploid species was used to construct linkage maps of the parental genomes. As in other recent genetic studies in Rosa, AFLPs were used as molecular markers. Two segregating qualitative traits, recurrent blooming and double corolla, already known to be inherited as single recessive and dominant genes, respectively, were recorded in the mapping population. A quantitative trait, thorn density of the shoots, was also evaluated in this population. Sixty eight and 108 AFLP markers located on 8 and 6 linkage groups could be analysed in the female and male parent, respectively. The two recorded qualitative phenotypic markers were mapped as well as the quantitative one, after having performed QTL analyses on the parental maps in the latter case. It appears that thorn quantity is controlled by a major and a minor QTL which are located on the same linkage group at 36.5 and 3.2 cM from the single seasonal-blooming gene, respectively.","Crespel L, Chirollet M, Durel E, Zhang D, Meynet J, Gudin S",TAG,2002,
10.1111_j.1471-8286.2006.01422.x,11539,Isolation and characterization of polymorphic microsatellite markers from European pear (Pyrus communis L.),"This study reports the development and characterization of 19 microsatellite primer pairs developed from genomic DNA of European pear (Pyrus communis) and their transferability to other Pyrus and Malus material. The primers were designed from two different genomic libraries enriched for di- and trinucleotide repeats. When tested in six P. communis cultivars and 15 other Pyrus species, 13 primers revealed single-locus polymorphism and six showed more complex patterns that suggest multiple loci. Two to 18 alleles were detected per locus and two primer pairs were sufficient to discriminate all accessions. Transferability of nine primer pairs to Malus was demonstrated through amplification of discrete products in two accessions.","Fernández-Fernández F, Harvey NG. James CM",Mol. Ecol. Notes,2006,
10.1007_s001220050841,663,Simple sequence repeats for the genetic analysis of apple,"The development of highly informative markers, such as simple sequence repeats, for tagging genes controlling agronomic characters is essential for apple breeding. Furthermore the use of these markers is fundamental both for variety identification and for the characterisation and management of genetic resources. We have developed 16 reliable simple sequence repeat (SSR) markers that amplify all alleles from a panel of 19 Malus x domestica (Borkh.) cultivars or breeding selections and from Malus floribunda 821. Those markers show a high level of genetic polymorphism, with on average 8.2 alleles per locus and an average heterozygosity of 0.78. Due to this high level of polymorphism, it was possible using two selected SSRs to distinguish all cultivars except Starking and Red Delicious. Ten of the markers we developed have been mapped on a RAPD linkage map, proving their Mendelian segregation as well as their random distribution in the apple genome. Finally, we discuss the importance of using co-dominant markers in outbreeding species.","Gianfranceschi, L., Seglias, N., Tarchini, R., Komjanc, M., Gessler, C.",Theoretical and applied genetics,1998,
10.1007_s10681-011-0616-6,9166,"Construction of a genetic linkage map with SSR, AFLP and morphological markers to locate QTLs controlling pathotype-specific powdery mildew resistance in diploid roses","Disease resistance is a sought-after trait in plant breeding programmes. One strategy to make resistance more durable is to increase the number of resistance genes, thereby increasing the number of pathotypes withstood. One of the most important diseases on roses is powdery mildew (PM) (Podosphaera pannosa). Recent studies show that pathotypes of PM and different types of resistances in roses exist. The results of this study aim to contribute to PM resistance in roses by the development of pathotype-specific markers on a genetic map. A diploid rose population (90 genotypes) derived from a cross between Rosa wichurana and Rosa ‘Yesterday’ was used to construct a genetic linkage map encompassing 20 AFLP primer combinations, 43 SSR, and 2 morphological markers. By applying the F1 pseudo-test cross population strategy, two parental linkage maps were constructed (parent ‘Yesterday’ 536 cM; parent R. wichurana 526 cM). Both parental maps consisted of seven linkage groups with an average length of 70 cM (Kosambi) corresponding to the seven haploid rose chromosomes. These new maps were used to identify QTLs controlling disease resistance. The offspring population was screened for resistance to two PM pathotypes, R–E and R–P. QTLs for controlling pathotype-specific disease resistance were mapped by applying Kruskal–Wallis rank-sum tests and simple interval mapping. With two pathotypes analysed, nine QTL loci were detected on linkage groups 2, 3, 5 and 6, explaining 15–73% of the phenotypic variance for pathotype-specific disease response. The genetic maps developed here will be useful for future rose breeding, pathotype-specific resistance research and development of a consensus map for roses.","Moghaddam HH, Leus L, De Riek J, Van Huylenbroeck J, Van Bockstaele E",Euphytica,2012,
10.1007_s11032-008-9249-4,8792,Determination of partial genomic sequences and development of a CAPS system of the S-RNase gene for the identification of 22 S haplotypes of apple (Malus x domestica Borkh.),"Information about self-incompatibility (S) genotypes of apple cultivars is important for the selection of pollen donors for fruit production and breeding. Although S genotyping systems using S haplotype-specific PCR of S-RNase, the pistil S gene, are useful, they are sometimes associated with false-positive/negative problems and are unable to identify new S haplotypes. The CAPS (cleaved amplified polymorphic sequences) system is expected to overcome these problems, however, the genomic sequences needed to establish this system are not available for many S-RNases. Here, we determined partial genomic sequences of eight S-RNases, and used the information to design new primer and to select 17 restriction enzymes for the discrimination of 22 S-RNases by CAPS. Using the system, the S genotypes of three cultivars were determined. The genomic sequence-based CAPS system would be useful for S genotyping and analyzing new S haplotypes of apple.","Kim H, Kakui H, Kotoda N, Hirata Y, Koba T, Sassa H",Molecular breeding,2009,
10.1126_science.aav8197,12958,Mutation of a bHLH transcription factor allowed almond domestication.,"Wild almond species accumulate the bitter and toxic cyanogenic diglucoside amygdalin. Almond domestication was enabled by the selection of genotypes harboring sweet kernels. We report the completion of the almond reference genome. Map-based cloning using an F1 population segregating for kernel taste led to the identification of a 46-kilobase gene cluster encoding five basic helix-loop-helix transcription factors, bHLH1 to bHLH5. Functional characterization demonstrated that bHLH2 controls transcription of the P450 monooxygenase-encoding genes PdCYP79D16 and PdCYP71AN24, which are involved in the amygdalin biosynthetic pathway. A nonsynonymous point mutation (Leu to Phe) in the dimerization domain of bHLH2 prevents transcription of the two cytochrome P450 genes, resulting in the sweet kernel trait.","Sánchez-Pérez R, Pavan S, Mazzeo R, Moldovan C, Aiese Cigliano R, Del Cueto J, Ricciardi F, Lotti C, Ricciardi L, Dicenta F, López-Marqués RL, Møller BL",Science,2019,
10.1023_A_1020525906332,756,Development and characterisation of 140 new microsatellites in apple (Malus x domestica Borkh.),"The availability of suitable genetic markers is essential to efficiently select and breed apple varieties of high quality and with multiple disease resistances. Microsatellites (simple sequence repeats, SSR) are very useful in this respect since they are codominant, highly polymorphic, abundant and reliably reproducible. Over 140 new SSR markers have been developed in apple and tested on a panel of 7 cultivars and 1 breeding selection. Their high level of polymorphism is expressed with an average of 6.1 alleles per locus and an average heterozygosity (H) of 0.74. Of all SSR markers, 115 have been positioned on a genetic linkage map of the cross ‘Fiesta’ × ‘Discovery’. As a result, all 17 linkage groups, corresponding to the 17 chromosomes of apple, were identified. Each chromosome carries at least two SSR markers, allowing the alignment of any apple molecular marker map both with regard to identification as well as to orientation of the linkage groups. To test the degree of conservation of the SSR flanking regions and the transferability of the SSR markers to other Rosaceae species, 15 primer pairs were tested on a series of Maloideae and Amygdaloideae species. The usefulness of the newly developed microsatellites in genetic mapping is demonstrated by means of the genetic linkage map. The possibility of constructing a global apple linkage map and the impact of such a number of microsatellite markers on gene and QTL mapping is discussed.","Liebhard, R., Gianfranceschi, L., Koller, B., Ryder, C.D., Tarchini, R., Weg, E. van de., Gessler, C.",Molecular breeding,2002,"""_"" after ""A"" in the DOI is "":"""
10.1007_s10592-009-9871-7,8428,Development and characterization of microsatellite loci for Rosa odorata var. gigantea Rehder &amp; E. H. Wilson (Rosaceae),"Eighteen microsatellite markers were developed from Rosa odorata var. gigantea (Rosaceae), including 11 new microsatellite markers and 7 modified microsatellite loci having been developed from other Rosa species. About 27 wild individuals from 3 populations were used to screen polymorphism of these 18 microsatellite makers. The average allele number of these markers was 3.9 per locus, ranging from 2 to 9. The expected and observed heterozygosities varied from 0.2711 to 0.8043 and from 0.0370 to 0.5556, respectively. Cross-species amplification in other eight Rosa species showed their potential use for congeneric species. These microsatellite primers will be used for population genetics studies, constructing genetic linkage maps or locating quantitative trait locus (QTL) of R. odorata var. gigantea and related species.","Meng J, Li D, Yi T, Yang J, Zhao X",Conservation genetics,2009,
10.1007_s11295-011-0458-3,8500,Aligned genetic linkage maps of apple rootstock cultivar ‘JM7’ and Malus sieboldii ‘Sanashi 63’ constructed with novel EST-SSRs,"Identification of markers associated with genes of interest and quantitative trait loci (QTLs), combined with high-density genetic linkage maps, can help reduce labor and costs by enabling marker-assisted selection (MAS). In this study, a dwarfing apple rootstock cultivar ‘JM7’ (Malus prunifolia × Malus pumila ‘Malling 9’) and wild apple Malus sieboldii ‘Sanashi 63’ (section Sorbomalus) were used for constructing genetic linkage maps. Here, a species from section Sorbomalus was used for the first time as a target species in a genome-wide mapping study. We also developed and mapped 137 novel-expressed sequence tag-simple sequence repeat (EST-SSR) markers. The genetic linkage maps of ‘JM7’ and ‘Sanashi 63’ consisted of 415 and 310 loci and spanned 998.0 and 981.8 cM, respectively, comparable to the reference map of Malus × domestica ‘Discovery’. A BLASTN search revealed that all of the EST-SSR sequences used in this study exhibited very high homology to one or more previously characterized apple genome contigs. Although the most homologous contigs of 89 EST-SSRs were located within the same linkage groups (LGs) identified by mapping analysis, the other 48 EST-SSRs were aligned into contigs positioned in different LGs than those identified by mapping. When search criteria were expanded to include the five most homologous contigs of each EST-SSR, at least one of the top five contigs for 15 of these 48 EST-SSRs corresponded to the LG obtained by mapping. The maps of ‘JM7’ and ‘Sanashi 63’ may be useful for analyzing important rootstock characteristics and identifying markers for MAS.","Moriya S, Iwanami H, Kotoda N, Haji T, Okada K, Terakami S, Mimida N, Yamamoto T, Abe K",Tree genetics & genomes,2012,
10.1007_s11295-009-0240-y,8537,Genetic mapping of the crown gall resistance gene of the wild apple Malus sieboldii,"Crown gall, caused by Agrobacterium tumefaciens, causes severe damage to apple saplings resulting in weak growth and loss of commercial value. Developing molecular markers linked to crown gall resistance genes, and establishing a marker-assisted selection (MAS) for such a trait would be an effective way to improve rootstock breeding for crown gall resistance. The wild apple Malus sieboldii Sanashi 63 carries the crown gall resistance gene Cg effective against the A. tumefaciens strain Peach CG8331 (biovar 2). Applying the genome scanning approach on the mapping population JM7 (cgcg) × Malus sieboldii Sanashi 63 (Cgcg), Cg was mapped on the linkage group (LG) 2. The constructed linkage map of LG 2 of Sanashi 63 spans 59.8 cM and has an average marker density of 3.5 cM per marker. The 191 bp allele of the simple sequence repeat (SSR) NZmsEB119405 co-segregated perfectly with Cg in a segregating population of 119 individuals. Quantitative trait loci, accounting for 75.3% to 84.3% of phenotypic variation were detected in the same position. Testing eight additional rootstocks with the NZmsEB119405 SSR marker revealed that the 191 bp allele is also present in crown gall-susceptible rootstock accessions. Only the markers CH03b01 and NZmsPal92 mapping at 0.9 and 4.3 cM from Cg, respectively, showed âprivateâ alleles associated to Cg.","Moriya S, Iwanami H, Takahashi S, Kotoda N, Suzaki K, Yamamoto T, Abe K",Tree genetics & genomes,2010,
10.17660_ActaHortic.2006.726.12,6656,Construction of a linkage map and QTL analysis of agronomic traits in almond using SSR markers,"Developing new cultivars is a long and tedious process in temperate fruit crops such as almond [Prunus dulcis (Miller) D.A. Webb], involving the generation of a huge seedling population from which the best genotypes will be selected. While the ability of breeders to generate large populations is almost unlimited, the management, study and selection of these seedlings are the main limiting factors in the generation of new cultivars. The identification of molecular markers associated with agronomic traits is of great interest for the Prunus breeding programs, and could accelerate enormously the selection process. In this study five tree traits (blooming time, leafing time, self-compatibility, productivity and ripening time) and three pomological traits (shell hardness, double kernel, and kernel bitterness) were studied in an almond progeny of 167 seedlings from the French cultivar “R1000” and the Spanish cultivar “Desmayo Largueta”. On the other hand, a set of 56 codominant SSR (simple-sequence repeat) markers developed from peach, cherry and almond were used for the molecular characterization of the progeny. A genetic linkage map was constructed with these 56 SSR markers and QTL (quantitative trait loci) analysis was performed in order to establish linkage between SSR markers and the agronomic traits. The development of efficient marker-assisted selection (MAS) strategies applied to almond and other Prunus breeding programs are discussed.","Sanchez-Perez R, Dicenta F, Martinez-Gomez P, Howad W, Arus P",Acta horticulturae,2006,
10.17660_ActaHortic.2006.713.5,6710,New detection of QTLs controlling major fruit quality components in peach,"Fruit quality is one of the main criteria for the selection of fruit of Rosaceae. The organoleptic quality of fleshy fruits is mainly defined by their soluble sugar and organic acid composition. The nutritional quality is partly determined by the phenolic compounds of the fruit that affect human health by limiting oxidations involved in cardiovascular disease. Also produce significant effects on taste and flavor of the fruit. A genetic linkage map was constructed from a peach F2 population of 208 individuals (‘Ferjalou Jalousia’® x ‘Fantasia’) (J x F). This population segregated for 6 Mendelian traits: peach or nectarine (G), flat fruit (S), non-acid fruit (D), clingstone or freestone (F), male sterility (Ps), no fruit at maturity (nfam). This population was analyzed during two years for fruit development characters, fruit acidity and sweetness, fruit weight and during one year for fruit phenolics. All Mendelian traits had a segregation ratio in agreement with single gene segregation and were mapped. QTLs were detected for nearly all characters: dry matter content, titratable acidity (TA), fruit pH, soluble solids content (SSC), organic acids (malic, citric, quinic), soluble sugars (sucrose, glucose, fructose, sorbitol, raffinose), total soluble phenolics, soluble and insoluble proanthocyanidins. No QTLs were detected for succinic, fumaric and isocitric acids that were in low concentration in fruits. QTLs with major effects on TA, pH and organic acid (malic acid, citric acid) were detected in the upper part of linkage group 5, where the D gene is located. In the same region, QTLs with lower effects were detected for all soluble sugars. This suggests that this region includes gene(s) with main metabolic determinants for fruit quality.","Dirlewanger E, Cosson P, Renaud C, Monet R, Poessel J, Moing A",Acta horticulturae,2006,
10.17660_ActaHortic.2006.717.18,6725,QTL analysis for resistance to Sharka disease (PPV-Dideron strain) in apricot using an F1 progeny derived from 'Stark Early Orange',"Since the late 1980s, sharka disease has become a serious threat for apricot (Prunus armeniaca). It is caused by an aphid-borne virus, Plum pox virus (PPV), which is included in the genus Potyvirus. Two major types of PPV occur: Dideron (PPV-D) and Marcus (PPV-M) strains for which the only known sources of resistance in apricot have been identified in North-American cultivars. As traditional breeding methods are time-consuming, the identification of the regions of the genome involved in resistance to PPV is a promising solution for the selection of new resistant cultivars. For this purpose, phenotypic evaluations were carried out in Spain, in a greenhouse, during 4 vegetative cycles, using PPV-Dideron RB 3.30 isolate, on a progeny derived from a cross between the susceptible cv. ‘Polonais’ and ‘Stark Early Orange’, a resistant cultivar. Quantitative trait loci (QTL) analyses were then performed with QTL Cartographer software, using different statistical procedures. Three genomic regions involved in PPV resistance were detected. One of these mapped to the upper distal region of linkage group 1 of ‘Stark Early Orange’ and accounted for 56% of the phenotypic variation. Two additional regions accounting for minor effects were detected on 2 homologous linkage groups of the maps of both cultivars. PPV resistance seems to be controlled by one major dominant factor and putative additional recessive factors are suspected.","Lambert P, Audergon J, Dicenta F, Rubio M",Acta horticulturae,2006,
10.17660_ActaHortic.2006.708.103,6726,QTL analysis for sugars and organic acids in strawberry fruits,"Improving fruit quality is an important goal for strawberry breeders. Quantitative trait loci (QTL) for fruit quality of cultivated strawberry (Fragaria × ananassa Duch.) have been identified. A segregating population of 213 individuals of a cross between ‘Capitola’ and ‘CF1116’, two genotypes with many contrasting fruit quality traits, was used in the study. Eleven traits related to sugar and acid content were evaluated for all progeny and for both parents. These traits were quantified by enzymatic and metabolic profiling using one-dimensional 1 H-NMR. Depending on the trait, measurements were taken over two or three years. Progeny showed a large range of variation for most of the traits. The strongest positive correlations were observed between fructose and glucose contents, and citrate and sum of organic acids. A total of 30 significant QTLs were detected by composite interval mapping (LOD superior to LODthreshold=2.88) and spread over eight female linkage groups and seven male linkage groups in coupling phase with a percentage of variation explained by a QTL ranging from 5.7 to 14.1 %. Strong co-locations of putative QTLs for fructose and glucose were detected, while other QTLs were detected for sucrose.","Lerceteau-Kohler E, Moing A, Guerin G, Renaud C, Maucourt M, Rolin D, Roudeillac P, Denoyes-Rothan B",Acta horticulturae,2006,
